coin_code,exchange_name,quote_amount,order_minimum,order_minimum_currency
btc,ftx,1,0.0001688,USD
eth,ftx,10,0.0022,USD
ltc,ftx,100,0.03355292,USD
xrp,ftx,10000,9.77771984,USD
algo,ftx,1250,3.75,USD
usdt,ftx,999.662,2.99898,USD
usdc,ftx,1000.158,3.00047,USD
avax,ftx,13.785,0.04136,USD
busd,ftx,1000.226,3.00068,USD
shib,ftx,42887146.609,128661.43983,USD
matic,ftx,685.806,2.05742,USD
wbtc,ftx,1,0.00008,USD
dai,ftx,999.767,2.9993,USD
cro,ftx,2568.585,7.70576,USD
link,ftx,74.31,0.22293,USD
trx,ftx,16474.086,49.42226,USD
uni,ftx,116.687,0.35006,USD
ftt,ftx,24.451,0.07335,USD
bch,ftx,3.517,0.01055,USD
leo,ftx,179.868,0.5396,USD
mana,ftx,412.898,1.23869,USD
xlm,ftx,5792.532,17.3776,USD
hbar,ftx,4781.748,14.34525,USD
ftm,ftx,726.223,2.17867,USD
sand,ftx,350.698,1.05209,USD
egld,ftx,7.458,0.02237,USD
axs,ftx,21.205,0.06362,USD
xtz,ftx,334.713,1.00414,USD
eos,ftx,504.96,1.51488,USD
mkr,ftx,1,0.00169,USD
grt,ftx,2821.851,8.46555,USD
aave,ftx,8.271,0.02481,USD
tusd,ftx,999.612,2.99884,USD
ht,ftx,109.789,0.32937,USD
enj,ftx,738.057,2.21417,USD
chz,ftx,5109.532,15.3286,USD
lrc,ftx,1364.766,4.0943,USD
bat,ftx,1536.349,4.60905,USD
usdp,ftx,997.53,2.99259,USD
crv,ftx,483.761,1.45128,USD
yfi,ftx,1,0.00014,USD
cel,ftx,346.875,1.04063,USD
comp,ftx,9.622,0.02887,USD
sxp,ftx,768.851,2.30655,USD
paxg,ftx,1,0.00149,USD
bnt,ftx,459.966,1.3799,USD
knc,ftx,327.873,0.98362,USD
1inch,ftx,766.407,2.29922,USD
omg,ftx,264.812,0.79444,USD
audio,ftx,1361.938,4.08581,USD
snx,ftx,257.159,0.77148,USD
zrx,ftx,2051.594,6.15478,USD
sushi,ftx,335.609,1.00683,USD
skl,ftx,8738.187,26.21456,USD
storj,ftx,1085.992,3.25798,USD
perp,ftx,258.093,0.77428,USD
dent,ftx,423506.461,1270.51938,USD
orbs,ftx,1,44.76972,USD
pundix,ftx,1346.05,4.03815,USD
reef,ftx,116275.593,348.82678,USD
hxro,ftx,3097.717,9.29315,USD
alpha,ftx,3527.17,10.58151,USD
band,ftx,280.312,0.84094,USD
mtl,ftx,685.413,2.05624,USD
badger,ftx,133.185,0.39956,USD
slp,ftx,54870.576,164.61173,USD
bal,ftx,87.81,0.26343,USD
loom,ftx,12909.677,38.72903,USD
yfii,ftx,1,0.00162,USD
dodo,ftx,2548.439,7.64532,USD
mith,ftx,33363.94,100.09182,USD
cream,ftx,22.709,0.06813,USD
oxy,ftx,3231.725,9.69518,USD
