id,wallet_type,custody_provider_name
1,receive,bitgo
2,send,bitgo
3,warm,bitgo
4,receive,bitgo
5,send,bitgo
6,warm,bitgo
7,receive,bitgo
8,send,bitgo
9,warm,bitgo
10,receive,bitgo
11,send,bitgo
12,warm,bitgo
13,receive,bitgo
14,send,bitgo
15,warm,bitgo
16,receive,bitgo
17,send,bitgo
18,warm,bitgo
19,receive,bitgo
20,send,bitgo
21,warm,bitgo
22,receive,bitgo
23,send,bitgo
24,warm,bitgo
25,receive,bitgo
26,send,bitgo
27,warm,bitgo
28,receive,bitgo
29,send,bitgo
30,warm,bitgo
31,receive,bitgo
32,send,bitgo
33,warm,bitgo
34,receive,bitgo
35,send,bitgo
36,warm,bitgo
37,receive,bitgo
38,send,bitgo
39,warm,bitgo
40,receive,bitgo
41,send,bitgo
42,warm,bitgo
43,receive,bitgo
44,send,bitgo
45,warm,bitgo
46,receive,bitgo
47,send,bitgo
48,warm,bitgo
49,receive,bitgo
50,send,bitgo
51,warm,bitgo
52,receive,bitgo
53,send,bitgo
54,warm,bitgo
55,receive,bitgo
56,send,bitgo
57,warm,bitgo
58,receive,bitgo
59,send,bitgo
60,warm,bitgo
61,receive,bitgo
62,send,bitgo
63,warm,bitgo
64,receive,bitgo
65,send,bitgo
66,warm,bitgo
67,receive,bitgo
68,send,bitgo
69,warm,bitgo
70,receive,bitgo
71,send,bitgo
72,warm,bitgo
73,receive,bitgo
74,send,bitgo
75,warm,bitgo
76,receive,bitgo
77,send,bitgo
78,warm,bitgo
79,receive,bitgo
80,send,bitgo
81,warm,bitgo
82,receive,bitgo
83,send,bitgo
84,warm,bitgo
85,receive,bitgo
86,send,bitgo
87,warm,bitgo
88,receive,bitgo
89,send,bitgo
90,warm,bitgo
91,receive,bitgo
92,send,bitgo
93,warm,bitgo
94,receive,bitgo
95,send,bitgo
96,warm,bitgo
97,receive,bitgo
98,send,bitgo
99,warm,bitgo
100,receive,bitgo
101,send,bitgo
102,warm,bitgo
103,receive,bitgo
104,send,bitgo
105,warm,bitgo
106,receive,bitgo
107,send,bitgo
108,warm,bitgo
109,receive,bitgo
110,send,bitgo
111,warm,bitgo
112,receive,bitgo
113,send,bitgo
114,warm,bitgo
115,receive,bitgo
116,send,bitgo
117,warm,bitgo
118,receive,bitgo
119,send,bitgo
120,warm,bitgo
121,receive,bitgo
122,send,bitgo
123,warm,bitgo
124,receive,bitgo
125,send,bitgo
126,warm,bitgo
127,receive,bitgo
128,send,bitgo
129,warm,bitgo
130,receive,bitgo
131,send,bitgo
132,warm,bitgo
133,receive,bitgo
134,send,bitgo
135,warm,bitgo
136,receive,bitgo
137,send,bitgo
138,warm,bitgo
139,receive,bitgo
140,send,bitgo
141,warm,bitgo
142,receive,bitgo
143,send,bitgo
144,warm,bitgo
145,receive,bitgo
146,send,bitgo
147,warm,bitgo
148,receive,bitgo
149,send,bitgo
150,warm,bitgo
151,receive,bitgo
152,send,bitgo
153,warm,bitgo
154,receive,bitgo
155,send,bitgo
156,warm,bitgo
157,receive,bitgo
158,send,bitgo
159,warm,bitgo
160,receive,bitgo
161,send,bitgo
162,warm,bitgo
163,receive,bitgo
164,send,bitgo
165,warm,bitgo
166,receive,bitgo
167,send,bitgo
168,warm,bitgo
169,receive,bitgo
170,send,bitgo
171,warm,bitgo
172,receive,bitgo
173,send,bitgo
174,warm,bitgo
175,receive,bitgo
176,send,bitgo
177,warm,bitgo
178,receive,bitgo
179,send,bitgo
180,warm,bitgo
181,receive,bitgo
182,send,bitgo
183,warm,bitgo
184,receive,bitgo
185,send,bitgo
186,warm,bitgo
187,receive,bitgo
188,send,bitgo
189,warm,bitgo
190,receive,bitgo
191,send,bitgo
192,warm,bitgo
193,receive,bitgo
194,send,bitgo
195,warm,bitgo
196,receive,bitgo
197,send,bitgo
198,warm,bitgo
199,receive,bitgo
200,send,bitgo
201,warm,bitgo
202,receive,bitgo
203,send,bitgo
204,warm,bitgo
205,receive,bitgo
206,send,bitgo
207,warm,bitgo
208,receive,bitgo
209,send,bitgo
210,warm,bitgo
211,receive,bitgo
212,send,bitgo
213,warm,bitgo
214,receive,bitgo
215,send,bitgo
216,warm,bitgo
217,receive,bitgo
218,send,bitgo
219,warm,bitgo
